latitude,longitude
40.8268873,-73.94988854
40.75050267,-74.0012648
40.72127573,-73.98270648
40.80390017,-73.96691108
40.83932035,-73.9410319
40.7148616,-74.00477425
40.83964393,-73.94025537
40.86647009,-73.92638116
40.7572492,-73.96023158
40.76450921,-73.99842021
40.72439407,-73.97391269
40.78686404,-73.97112083
40.79973209,-73.95508018
40.70921389,-74.00521259
40.72647379,-73.9833363
40.83939878,-73.94173134
40.73615944,-73.98638686
40.73481124,-74.00856449
40.82883579,-73.94815476
40.78340041,-73.97695338
40.71976749,-73.99706864
40.70744062,-74.00768779
40.72430617,-74.00203582
40.78054335,-73.96127536
40.72833187,-74.00195772
40.75457828,-73.96601516
40.71660822,-73.98859257
40.80718295,-73.93994272
40.79771713,-73.93531055
40.74904074,-73.97804149
40.74163215,-74.00895802
40.76638585,-73.9549238
40.80241066,-73.96648706
40.75933045,-74.00295471
40.75293667,-73.97301329
40.80031591,-73.9579335
40.79739168,-73.94846159
40.79207972,-73.95176512
40.84205231,-73.94008579
40.78435198,-73.95321076
40.73774928,-73.99353837
40.74226139,-73.9972477
40.80542603,-73.94188364
40.73749061,-74.00409487
40.81036886,-73.9558322
40.72048475,-73.99248685
40.7184274,-73.99857062
40.76879292,-73.99529737
40.80272462,-73.96770759
40.75785314,-73.96161867
40.70662621,-74.01416475
40.8294274,-73.94787633
40.73355352,-73.99591477
40.80536574,-73.95738638
40.85440981,-73.93214887
40.75938682,-74.00291422
40.74253881,-73.98686447
40.7937297,-73.96728109
40.77669502,-73.95950374
40.73440616,-73.996083
40.84746007,-73.94137011
40.79106639,-73.94742084
40.77056338,-73.96444967
40.71362943,-73.99775526
40.73405214,-73.99684184
40.76149127,-73.991867
40.72999115,-73.97911331
40.77858775,-73.97541893
40.76705997,-73.96788366
40.83947355,-73.94114019
40.77153522,-73.95101618
40.72689249,-73.98539953
40.86234051,-73.92509394
40.74454102,-73.9788219
40.79813305,-73.97389065
40.84637828,-73.93758112
40.77137286,-73.96138213
40.81347444,-73.9369625
40.79529075,-73.96504627
40.75773879,-73.9613471
40.81327106,-73.95037533
40.78308755,-73.94437848
40.70237278,-74.01143532
40.81577587,-73.93900572
40.72452621,-73.98452686
40.83626709,-73.93894805
40.7429812,-74.00050083
40.7308168,-73.9875742
40.80034086,-73.93841609
40.71330715,-73.98352668
40.77539745,-73.95663211
40.71458504,-73.9969157
40.73892721,-73.99830973
40.7785743,-73.95813052
40.84711362,-73.93909161
40.76182408,-73.97322138
40.72679827,-73.98604109
40.79249288,-73.97337452
40.73571092,-74.00718071
40.81404846,-73.95236179
40.76833167,-73.95925667
40.79999031,-73.96218208
40.76096989,-73.9925388
40.83597159,-73.93824644
40.82855463,-73.93805698
40.86116553,-73.92104615
40.8156484,-73.93676873
40.73507587,-73.97501574
40.7677705,-73.99606073
40.7708509,-73.94894288
40.79217044,-73.97593587
40.82823627,-73.94181744
40.8142615,-73.95119345
40.86102034,-73.9260247
40.80572562,-73.95972912
40.71511621,-73.97924663
40.82054513,-73.94008119
40.75665026,-73.96484018
40.81005427,-73.95730266
40.7836602,-73.9515729
40.79977202,-73.94697245
40.74053474,-73.98342545
40.72938092,-74.00245879
40.73667416,-74.00513913
40.78447937,-73.94796956
40.76218061,-73.95851294
40.76724859,-73.97097654
40.77620549,-73.94557924
40.75991955,-74.00286473
40.72855049,-73.9898433
40.74667434,-73.97657808
40.72421934,-74.00137663
40.82753193,-73.93861256
40.75921462,-73.96209953
40.78569737,-73.97452664
40.78786857,-73.97155304
40.7303088,-73.98950207
40.82117028,-73.9543208
40.74560041,-73.97369596
40.71854708,-74.01047624
40.79461221,-73.97008453
40.75976166,-73.99357888
40.73749219,-74.00674539
40.83228337,-73.94493807
40.71373213,-73.98644497
40.79855832,-73.96893431
40.85095226,-73.93872806
40.75863664,-73.97925889
40.82057661,-73.95468653
40.80463057,-73.9519629
40.7103466,-73.99578365
40.78240536,-73.95469782
40.75025644,-73.99657952
40.7387925,-74.00843538
40.77784837,-73.95761818
40.73833072,-73.9989467
40.81398452,-73.94985484
40.71931993,-73.97725431
40.74494372,-73.99745735
40.80024134,-73.95811962
40.77095848,-73.96548083
40.82182394,-73.94415957
40.80006296,-73.9707136
40.84995929,-73.93361544
40.75555397,-73.96185695
40.85792606,-73.93300703
40.82797316,-73.94201239
40.71122342,-74.01522408
40.76879027,-73.96546028
40.72389578,-73.98980197
40.82214024,-73.95630004
40.7794354,-73.98088898
40.80791099,-73.96563706
40.76885929,-73.98515258
40.77433629,-73.95322428
40.81597045,-73.95716626
40.85174662,-73.92710169
40.7716602,-73.95701902
40.7313198,-74.01012753
40.7563104,-73.97461902
40.80874475,-73.94870179
40.72558232,-73.9917903
40.84143377,-73.94425405
40.80874845,-73.93811447
40.81399286,-73.9622823
40.73501047,-74.00260833
40.7409089,-74.00102319
40.79890772,-73.934493
40.80524515,-73.95316253
40.81142234,-73.96413598
40.74348021,-73.98242172
40.76344151,-73.95609503
40.76394953,-73.98021876
40.73073157,-73.97430965
40.74928715,-73.97072249
40.74405204,-73.99531171
40.71305432,-73.9843717
40.78994591,-73.95415407
40.73149023,-74.00675292
40.8286724,-73.94876723
40.75278773,-73.9712031
40.86724029,-73.93061358
40.77991618,-73.95242916
40.77798537,-73.95005734
40.74312804,-74.00292916
40.86797338,-73.92520352
40.79601518,-73.93742097
40.71080487,-74.00176294
40.7834058,-73.97871921
40.80236661,-73.93291032
40.77575534,-73.96018825
40.71902338,-73.97588482
40.73922333,-73.9821631
40.73418842,-73.98143371
40.81736223,-73.93506051
40.74071926,-73.98924809
40.80985523,-73.93880703
40.77447887,-73.95356037
40.84586251,-73.93611526
40.79686965,-73.97092534
40.80671477,-73.95665632
40.80003512,-73.97064718
40.73242687,-74.00944259
40.86425135,-73.92104269
40.80033723,-73.9359295
40.78197088,-73.95951352
40.8406802,-73.93618477
40.81820394,-73.94671226
40.80056478,-73.96406916
40.78866569,-73.9712364
40.79058205,-73.96930703
40.84268842,-73.94159631
40.78246651,-73.95290946
