3.079599169598733308e-04,9.599308228389278599e-04
2.524642790036652103e-04,7.728817801658120551e-04
6.096852048652067228e-04,1.859398669078555697e-04
4.029584260243517283e-04,4.295163389467239988e-04
2.422200642946174224e-04,5.379281363352791294e-04
5.352488246052194976e-04,1.618213742128238493e-03
2.274801870154120377e-04,4.404975475197318987e-04
1.790145031465424294e-02,2.193105731837190209e-02
4.246997450111796545e-04,1.326806368318348729e-03
2.345553281094306093e-04,3.867706948370284482e-04
1.239593860392044491e-03,1.336870019530726143e-04
8.425015664902551528e-04,9.676360936866324435e-05
3.392084567917886618e-04,1.986898607543681938e-04
1.368788884744279481e-03,5.427922958374169042e-04
1.027781823889865366e-03,4.480554195946443000e-05
1.104060688809751448e-03,1.169572412411745775e-04
1.245121314371746592e-03,1.713473884014422724e-04
1.135382928028062267e-03,1.322867136115481223e-04
4.434193891557704518e-04,8.554250929293619491e-04
1.068906081498847927e-03,7.118992228924197942e-05
